Page,Column,Transcription
0,0,卷 六
0,1,四 書
0,2,孟 子
5,0,第 十 一 章 告 子 上
5,1,告 子 曰 ：
5,2,性 猶 杞 柳 也 ；
5,3,義 猶 桮 棬 也 。
5,4,以 人 性 為 仁 義 ，
5,5,猶 以 杞 柳 為 桮 棬 。
5,6,孟 子 曰 ：
5,7,子 能 順 杞 柳 之 性
7,0,而 以 為 桮 棬 乎 ？
7,1,將 戕 賊 杞 柳
7,2,而 後 以 為 桮 棬 也 ？
7,3,如 將 戕 賊 杞 柳
7,4,而 以 為 桮 棬 ，
7,5,則 亦 將 戕 賊 人
7,6,以 為 仁 義 與 ？
7,7,率 天 下 之 人 而 禍 仁 義 者 ，
9,0,必 子 之 言 夫 ！
9,1,告 子 曰 ：
9,2,性 猶 湍 水 也 ，
9,3,決 諸 東 方 則 東 流 ，
9,4,決 諸 西 方 則 西 流 。
9,5,人 性 之 無 分 於 善 不 善 也 ，
9,6,猶 水 之 無 分 於 東 西 也 。
9,7,孟 子 曰 ：
11,0,水 信 無 分 於 東 西 ，
11,1,無 分 於 上 下 乎 ？
11,2,人 性 之 善 也 ，
11,3,猶 水 之 就 下 也 。
11,4,人 無 有 不 善 ，
11,5,水 無 有 不 下 。
11,6,今 夫 水 搏 而 躍 之 ，
11,7,可 使 過 顙 ，
13,0,激 而 行 之 ，
13,1,可 使 在 山 ，
13,2,是 豈 水 之 性 哉 ？
13,3,其 勢 則 然 也 。
13,4,人 之 可 使 為 不 善 ，
13,5,其 性 亦 猶 是 也 。
13,6,告 子 曰 ：
13,7,生 之 謂 性 。
15,0,孟 子 曰 ：
15,1,生 之 謂 性 也 ，
15,2,猶 白 之 謂 白 與 ？
15,3,曰 然 。
15,4,白 羽 之 白 也 ，
15,5,猶 白 雪 之 白 ，
15,6,白 雪 之 白 ，
15,7,猶 白 玉 之 白 歟 ？
17,0,曰 然 。
17,1,然 則 犬 之 性 猶 牛 之 性 ，
17,2,牛 之 性 猶 人 之 性 歟 ？
17,3,告 子 曰 ：
17,4,食 色 ， 性 也 。
17,5,仁 內 也 ， 非 外 也 。
17,6,義 外 也 ， 非 內 也 。
17,7,孟 子 曰 ：
19,0,何 以 謂 仁 內 義 外 也 ？
19,1,曰 彼 長 而 我 長 之 ，
19,2,非 有 長 於 我 也 。
19,3,猶 彼 白 而 我 白 之 ，
19,4,從 其 白 於 外 也 ，
19,5,故 謂 之 外 也 。
19,6,曰 異 於 白 馬 之 白 也 ，
19,7,無 以 異 於 白 人 之 白 也 ！
21,0,不 識 長 馬 之 長 也 ，
21,1,無 以 異 於 長 人 之 長 與 ？
21,2,且 謂 長 者 義 乎 ？
21,3,長 之 者 義 乎 ？
21,4,曰 吾 弟 則 愛 之 ，
21,5,秦 人 之 弟 則 不 愛 也 ，
21,6,是 以 我 為 悅 者 也 ，
21,7,故 謂 之 內 。
23,0,長 楚 人 之 長 ，
23,1,亦 長 吾 之 長 ，
23,2,是 以 長 為 悅 者 也 ，
23,3,故 謂 之 外 也 。
