Page,Column,Transcription,Translation
5,0,Đệ Thập Nhất Chương Cáo Tử Thượng,CHƯƠNG XI : CÁO TỬ THƯỢNG
5,1,1 Cáo Tử Viết,1.Học trò Cáo Tử nói rằng :
5,2,Tính Do Kỷ Liễu Dã,Bản tính tự nhiên của người như cây kỷ liễu ;
5,3,Nghĩa Do Bôi Quyền Dã,Nghĩa là có thể uốn cong để làm chén bát.
5,4,Dĩ Nhân Tính Vi Nhân Nghĩa,"Nếu lấy bản tính tự nhiên của người ra làm điều nhân nghĩa,"
5,5,Do Dĩ Kỷ Liễu Vi Bôi Quyền,Thì cũng giống như lấy cây kỷ liễu uốn cong để làm chén bát vậy.
5,6,Mạnh Tử Viết,Thầy Mạnh Tử nói :
5,7,Tử Năng Thuận Kỷ Liễu Chi Tính,Trò có thể thuận theo tính vốn có của cây kỷ liễu
7,0,Nhi Dĩ Vi Bôi Quyền Hồ,uốn cong để làm chén bát được không ?
7,1,Tương Tường Tặc Kỷ Liễu,Hay là phải xẻ gỗ cây kỷ liễu ra
7,2,Nhi Hậu Dĩ Vi Bôi Quyền Dã,sau đó uốn cong rồi làm thành chén bát được ?
7,3,Như Tương Tường Tặc Kỷ Liễu,Như phải xẻ gỗ cây kỷ liễu
7,4,Nhi Dĩ Vi Bôi Quyền,"Rồi sau uốn cong làm thành chén bát,"
7,5,Tắc Diệc Tương Tường Tặc Nhân,Vậy thì cũng như bản tính tự nhiên của người phải xẻ ra (dạy dỗ)
7,6,Dĩ Vi Nhân Nghĩa Dư,Thì người ta mới biết làm điều nhân nghĩa đó ư ?
7,7,Suất Thiên Hạ Chi Nhân Nhi Họa Nhân Nghĩa Giả,"Bậc lớn trong thiên-hạ (làm theo trò) mà hại việc nhân nghĩa,"
9,0,Tất Tử Chi Ngôn Phù,ắt là do lời nói (sai lầm này) của trò đấy !
9,1,2 Cáo Tử Viết,2.Học trò Cáo Tử nói rằng :
9,2,Tính Do Khoan Thủy Dã,"Bản tính tự nhiên của người giống như nước chảy,"
