Page,Column,transcription,Points,quoc_ngu_groundtruth,Chữ Quốc Ngữ,transcription_list,quoc_ngu_groundtruth_list
5,0,鴉十一章告子王,"[(358, 113), (394, 413)]",đệ thập nhất chương cáo tử thượng,Đệ Thập Nhất Chương Cáo Tử Thượng,"['鴉', '十', '一', '章', '告', '子', '王']","['đệ', 'thập', 'nhất', 'chương', 'cáo', 'tử', 'thượng']"
5,1,告子曰,"[(310, 65), (351, 192)]",cáo tử viết,1 Cáo Tử Viết,"['告', '子', '曰']","['cáo', 'tử', 'viết']"
5,2,性猶𢩽柳也,"[(265, 66), (304, 281)]",tính do kỷ liễu dã,Tính Do Kỷ Liễu Dã,"['性', '猶', '𢩽', '柳', '也']","['tính', 'do', 'kỷ', 'liễu', 'dã']"
5,3,義猶橋梞也,"[(219, 64), (259, 282)]",nghĩa do bôi quyền dã,Nghĩa Do Bôi Quyền Dã,"['義', '猶', '橋', '梞', '也']","['nghĩa', 'do', 'bôi', 'quyền', 'dã']"
5,4,以人性爲人義,"[(179, 71), (214, 330)]",dĩ nhân tính vi nhân nghĩa,Dĩ Nhân Tính Vi Nhân Nghĩa,"['以', '人', '性', '爲', '人', '義']","['dĩ', 'nhân', 'tính', 'vi', 'nhân', 'nghĩa']"
5,5,猶以𢩽柳爲橋椿,"[(130, 68), (170, 375)]",do dĩ kỷ liễu vi bôi quyền,Do Dĩ Kỷ Liễu Vi Bôi Quyền,"['猶', '以', '𢩽', '柳', '爲', '橋', '椿']","['do', 'dĩ', 'kỷ', 'liễu', 'vi', 'bôi', 'quyền']"
5,6,孟子曰,"[(85, 63), (130, 194)]",mạnh tử viết,Mạnh Tử Viết,"['孟', '子', '曰']","['mạnh', 'tử', 'viết']"
5,7,子能順𢩽柳之性,"[(44, 69), (81, 369)]",tử năng thuận kỷ liễu chi tính,Tử Năng Thuận Kỷ Liễu Chi Tính,"['子', '能', '順', '𢩽', '柳', '之', '性']","['tử', 'năng', 'thuận', 'kỷ', 'liễu', 'chi', 'tính']"
7,0,而以爲橋乎,"[(355, 62), (395, 316)]",nhi dĩ vi bôi quyền hồ,Nhi Dĩ Vi Bôi Quyền Hồ,"['而', '以', '爲', '橋', '乎']","['nhi', 'dĩ', 'vi', 'bôi', 'quyền', 'hồ']"
7,1,將戎賊𢩽柳,"[(307, 58), (349, 282)]",tương tường tặc kỷ liễu,Tương Tường Tặc Kỷ Liễu,"['將', '戎', '賊', '𢩽', '柳']","['tương', 'tường', 'tặc', 'kỷ', 'liễu']"
7,2,而役以爲橋椿也,"[(269, 64), (299, 362)]",nhi hậu dĩ vi bôi quyền dã,Nhi Hậu Dĩ Vi Bôi Quyền Dã,"['而', '役', '以', '爲', '橋', '椿', '也']","['nhi', 'hậu', 'dĩ', 'vi', 'bôi', 'quyền', 'dã']"
7,3,如將𦋦賊𢩽柳,"[(218, 60), (257, 316)]",như tương tường tặc kỷ liễu,Như Tương Tường Tặc Kỷ Liễu,"['如', '將', '𦋦', '賊', '𢩽', '柳']","['như', 'tương', 'tường', 'tặc', 'kỷ', 'liễu']"
7,4,而以爲橋椿,"[(178, 63), (212, 272)]",nhi dĩ vi bôi quyền,Nhi Dĩ Vi Bôi Quyền,"['而', '以', '爲', '橋', '椿']","['nhi', 'dĩ', 'vi', 'bôi', 'quyền']"
